file,GRASPMOD_of,GRASPMOD_runtime (s),PR5_of,PR5_runtime (s)
MDG-a_10_100_m10.txt,352.72,0.04,352.72,0.03
MDG-a_12_100_m10.txt,351.82,0.05,351.82,0.02
MDG-a_13_n500_m50.txt,7714.65,3.14,7777.02,4.44
MDG-a_14_100_m10.txt,348.99,0.04,349.47,0.04
MDG-a_16_n500_m50.txt,7639.02,3.32,7705.39,4.22
MDG-a_17_n500_m50.txt,7696.6,3.22,7725.67,4.35
MDG-a_19_n500_m50.txt,7694.2,2.8,7694.27,4.23
MDG-a_1_100_m10.txt,360.15,0.03,360.15,0.02
MDG-a_20_100_m10.txt,348.68,0.03,348.68,0.03
MDG-a_20_n500_m50.txt,7638.48,3.05,7686.33,4.24
MDG-a_2_n500_m50.txt,7658.58,3.25,7694.07,5.06
MDG-a_4_100_m10.txt,350.87,0.05,353.51,0.03
MDG-a_5_n500_m50.txt,7647.25,3.04,7672.82,5.02
MDG-a_6_n500_m50.txt,7676.19,2.47,7753.32,5.04
MDG-a_9_n500_m50.txt,7709.47,3.41,7734.92,4.5
