file,GRASPMOD_of,GRASPMOD_runtime (s),PR5_of,PR5_runtime (s)
MDG-a_10_100_m10.txt,355.5,0.52,355.5,0.53
MDG-a_12_100_m10.txt,354.25,0.52,354.25,0.58
MDG-a_13_n500_m50.txt,7736.6,36.39,7778.3,74.56
MDG-a_14_100_m10.txt,356.06,0.61,356.06,0.51
MDG-a_16_n500_m50.txt,7749.92,44.92,7787.41,69.43
MDG-a_17_n500_m50.txt,7785.36,38.64,7787.2,76.83
MDG-a_19_n500_m50.txt,7713.42,35.27,7713.42,71.73
MDG-a_1_100_m10.txt,360.15,0.59,360.15,0.46
MDG-a_20_100_m10.txt,349.31,0.61,349.31,0.46
MDG-a_20_n500_m50.txt,7707.95,37.26,7723.31,73.2
MDG-a_2_n500_m50.txt,7742.31,37.95,7746.23,68.35
MDG-a_4_100_m10.txt,355.72,0.64,355.72,0.57
MDG-a_5_n500_m50.txt,7691.09,38.91,7748.51,76.76
MDG-a_6_n500_m50.txt,7713.84,39.45,7768.91,73.46
MDG-a_9_n500_m50.txt,7739.14,39.58,7764.58,71.54
