file,GRASPMOD_of,GRASPMOD_runtime (s),GRASP_of,GRASP_runtime (s)
Type1_22.1.txt,662763.0,28.26,662557.0,28.06
Type1_22.10.txt,662600.0,27.78,661597.0,27.22
Type1_22.11.txt,663115.0,26.13,662500.0,25.64
Type1_22.12.txt,662645.0,28.45,662334.0,28.31
Type1_22.13.txt,662492.0,28.61,662273.0,28.76
Type1_22.14.txt,662982.0,27.88,662433.0,28.19
Type1_22.15.txt,663587.0,27.97,661936.0,26.06
Type1_22.16.txt,662969.0,25.24,662159.0,27.57
Type1_22.17.txt,663440.0,27.71,663106.0,27.5
Type1_22.18.txt,663316.0,27.33,663105.0,28.01
Type1_22.19.txt,662488.0,28.11,661091.0,28.23
Type1_22.2.txt,663508.0,24.5,662362.0,26.96
Type1_22.20.txt,663794.0,26.3,663095.0,27.97
Type1_22.3.txt,662319.0,28.13,662713.0,26.89
Type1_22.4.txt,662884.0,28.63,661744.0,24.23
Type1_22.5.txt,662802.0,19.25,663221.0,27.49
Type1_22.6.txt,663717.0,28.15,662883.0,27.81
Type1_22.7.txt,662366.0,23.66,662892.0,25.65
Type1_22.8.txt,663472.0,23.75,663043.0,27.98
Type1_22.9.txt,662630.0,27.86,663652.0,28.21
