file,GRASPMOD_of,GRASPMOD_runtime (s),PR1_of,PR1_runtime (s),PR2_of,PR2_runtime (s),PR3_of,PR3_runtime (s),PR4_of,PR4_runtime (s),GRASP_of,GRASP_runtime (s)
MDG-a_10_100_m10.txt,354.34,0.12,354.34,0.02,354.34,0.0,354.96,0.05,354.34,0.01,355.5,0.16
MDG-a_12_100_m10.txt,354.25,0.12,354.25,0.02,354.25,0.0,354.25,0.04,354.25,0.01,354.25,0.17
MDG-a_13_n500_m50.txt,7711.06,10.73,7711.06,32.93,7711.06,0.03,7758.42,34.07,7752.17,32.67,7703.68,9.28
MDG-a_14_100_m10.txt,356.06,0.15,356.06,0.01,356.06,0.0,356.06,0.02,356.06,0.01,356.06,0.16
MDG-a_16_n500_m50.txt,7736.91,9.54,7736.91,27.26,7736.91,0.03,7763.96,30.2,7764.95,26.45,7681.75,9.43
MDG-a_17_n500_m50.txt,7718.07,9.27,7718.07,33.05,7718.07,0.05,7739.23,33.73,7727.59,31.99,7752.75,14.18
MDG-a_19_n500_m50.txt,7689.11,12.33,7690.02,34.82,7689.11,0.06,7700.32,32.96,7702.81,32.17,7713.87,10.98
MDG-a_1_100_m10.txt,360.15,0.1,360.15,0.01,360.15,0.0,360.15,0.03,360.15,0.0,360.15,0.16
MDG-a_20_100_m10.txt,349.31,0.15,349.31,0.01,349.31,0.0,349.31,0.03,349.31,0.01,348.68,0.1
MDG-a_20_n500_m50.txt,7660.4,9.9,7660.4,30.29,7660.4,0.04,7703.55,32.29,7703.55,23.58,7675.97,10.86
MDG-a_2_n500_m50.txt,7681.14,10.47,7681.14,30.52,7681.14,0.05,7681.14,33.39,7701.38,20.1,7704.76,10.03
MDG-a_4_100_m10.txt,355.72,0.1,355.72,0.01,355.72,0.0,355.72,0.03,355.72,0.0,355.72,0.16
MDG-a_5_n500_m50.txt,7705.28,10.07,7705.28,28.03,7705.28,0.05,7705.28,32.05,7705.28,36.03,7656.72,9.72
MDG-a_6_n500_m50.txt,7726.08,10.05,7726.08,29.35,7726.08,0.04,7762.29,32.77,7761.38,21.12,7699.49,11.22
MDG-a_9_n500_m50.txt,7696.8,9.67,7704.64,29.64,7696.8,0.05,7715.58,29.92,7715.52,22.99,7720.25,11.23
