file,GRASPMOD_of,GRASPMOD_runtime (s),PR1_of,PR1_runtime (s),PR2_of,PR2_runtime (s),PR3_of,PR3_runtime (s),PR4_of,PR4_runtime (s),GRASP_of,GRASP_runtime (s)
MDG-a_10_100_m10.txt,355.5,0.56,355.5,0.01,355.5,0.0,355.5,0.03,355.5,0.03,355.5,0.03
MDG-a_12_100_m10.txt,354.25,0.67,354.25,0.01,354.25,0.0,354.25,0.02,354.25,0.02,354.25,0.02
MDG-a_13_n500_m50.txt,7749.22,80.68,7749.22,30.31,7749.22,0.04,7778.3,30.58,7778.3,35.95,7749.43,35.95
MDG-a_14_100_m10.txt,356.06,0.58,356.06,0.02,356.06,0.0,356.06,0.03,356.06,0.02,356.06,0.02
MDG-a_16_n500_m50.txt,7752.8,43.43,7752.8,23.94,7752.8,0.05,7789.24,27.0,7770.95,30.16,7733.95,30.16
MDG-a_17_n500_m50.txt,7735.83,44.43,7747.57,26.88,7735.83,0.05,7784.69,30.34,7763.13,34.32,7782.57,34.32
MDG-a_19_n500_m50.txt,7676.91,44.0,7677.49,29.38,7676.91,0.05,7713.82,31.12,7684.93,32.17,7709.11,32.17
MDG-a_1_100_m10.txt,360.15,0.53,360.15,0.01,360.15,0.0,360.15,0.04,360.15,0.01,360.15,0.01
MDG-a_20_100_m10.txt,349.31,0.68,349.31,0.02,349.31,0.0,349.31,0.06,349.31,0.03,349.31,0.03
MDG-a_20_n500_m50.txt,7709.32,44.86,7709.32,26.88,7709.32,0.05,7718.07,29.0,7718.07,32.5,7668.01,32.5
MDG-a_2_n500_m50.txt,7706.32,41.03,7706.32,26.5,7706.32,0.05,7711.2,28.37,7706.32,35.11,7718.19,35.11
MDG-a_4_100_m10.txt,355.72,0.45,355.72,0.01,355.72,0.0,355.72,0.01,355.72,0.01,355.72,0.01
MDG-a_5_n500_m50.txt,7731.65,42.59,7731.65,25.8,7731.65,0.04,7751.27,28.74,7751.27,30.77,7716.31,30.77
MDG-a_6_n500_m50.txt,7742.41,42.75,7742.41,25.58,7742.41,0.05,7770.48,28.4,7742.95,29.48,7744.47,29.48
MDG-a_9_n500_m50.txt,7742.6,45.06,7742.6,22.95,7742.6,0.04,7747.31,25.33,7742.6,27.43,7770.07,27.43
