file,GRASPMOD_of,GRASPMOD_runtime (s),PR1_of,PR1_runtime (s),PR2_of,PR2_runtime (s),PR3_of,PR3_runtime (s),PR4_of,PR4_runtime (s),GRASP_of,GRASP_runtime (s)
MDG-a_10_100_m10.txt,354.96,0.05,354.96,0.01,354.96,0.0,354.96,0.03,354.96,0.0,355.5,0.0
MDG-a_12_100_m10.txt,354.25,0.05,354.25,0.01,354.25,0.0,354.25,0.02,354.25,0.01,354.25,0.01
MDG-a_13_n500_m50.txt,7710.39,5.79,7711.82,26.37,7710.39,0.03,7725.77,32.29,7725.77,18.29,7764.27,18.29
MDG-a_14_100_m10.txt,356.06,0.07,356.06,0.01,356.06,0.0,356.06,0.02,356.06,0.01,356.06,0.01
MDG-a_16_n500_m50.txt,7740.73,5.47,7740.73,29.6,7740.73,0.03,7748.34,33.83,7748.34,20.38,7707.62,20.38
MDG-a_17_n500_m50.txt,7715.02,4.87,7715.02,28.72,7715.02,0.05,7730.22,31.76,7725.33,33.86,7737.32,33.86
MDG-a_19_n500_m50.txt,7646.39,5.32,7646.39,29.83,7646.39,0.05,7693.46,31.57,7663.0,23.59,7713.87,23.59
MDG-a_1_100_m10.txt,359.81,0.08,359.81,0.02,359.81,0.0,360.15,0.03,359.81,0.01,360.15,0.01
MDG-a_20_100_m10.txt,347.09,0.09,347.09,0.02,347.09,0.0,347.09,0.05,347.09,0.01,349.31,0.01
MDG-a_20_n500_m50.txt,7651.76,4.89,7651.76,27.29,7651.76,0.05,7729.29,29.02,7717.74,26.08,7675.97,26.08
MDG-a_2_n500_m50.txt,7718.73,5.24,7718.73,31.58,7718.73,0.03,7725.09,31.04,7725.09,35.65,7702.75,35.65
MDG-a_4_100_m10.txt,355.72,0.09,355.72,0.02,355.72,0.0,355.72,0.02,355.72,0.01,355.72,0.01
MDG-a_5_n500_m50.txt,7706.3,5.47,7708.5,24.08,7706.3,0.05,7724.79,25.75,7724.79,20.3,7664.09,20.3
MDG-a_6_n500_m50.txt,7688.37,5.43,7688.37,33.82,7688.37,0.08,7736.38,56.89,7736.38,27.5,7695.15,27.5
MDG-a_9_n500_m50.txt,7690.35,5.51,7690.35,27.28,7690.35,0.05,7698.74,30.24,7701.05,24.18,7729.04,24.18
