file,GRASPMOD_of,GRASPMOD_runtime (s),PR3_of,PR3_runtime (s),PR4_of,PR4_runtime (s)
MDG-a_10_100_m10.txt,355.5,0.17,355.5,0.03,355.5,0.02
MDG-a_12_100_m10.txt,354.25,0.21,354.25,0.04,354.25,0.02
MDG-a_13_n500_m50.txt,7765.02,13.38,7780.89,34.61,7771.92,56.14
MDG-a_14_100_m10.txt,356.06,0.14,356.06,0.04,356.06,0.02
MDG-a_16_n500_m50.txt,7715.3,14.02,7717.82,36.01,7755.42,105.91
MDG-a_17_n500_m50.txt,7755.01,15.68,7785.72,34.04,7785.72,60.37
MDG-a_19_n500_m50.txt,7686.09,14.14,7755.41,33.23,7747.87,52.5
MDG-a_1_100_m10.txt,360.15,0.22,360.15,0.04,360.15,0.02
MDG-a_20_100_m10.txt,348.68,0.15,348.68,0.04,349.31,0.02
MDG-a_20_n500_m50.txt,7672.08,11.37,7672.08,31.06,7672.08,38.67
MDG-a_2_n500_m50.txt,7705.07,13.49,7711.35,27.37,7713.16,53.84
MDG-a_4_100_m10.txt,355.72,0.2,355.72,0.03,355.72,0.02
MDG-a_5_n500_m50.txt,7736.0,12.83,7745.18,35.34,7750.4,69.09
MDG-a_6_n500_m50.txt,7743.11,20.28,7743.11,25.17,7764.35,43.52
MDG-a_9_n500_m50.txt,7690.02,23.59,7729.49,33.48,7726.57,58.37
