file,GRASPMOD_of,GRASPMOD_runtime (s),GRASP_of,GRASP_runtime (s)
Type1_22.1.txt,662559.0,8.08,661402.0,8.86
Type1_22.10.txt,661807.0,8.35,662040.0,8.39
Type1_22.11.txt,662748.0,8.59,662349.0,6.91
Type1_22.12.txt,662059.0,7.85,657110.0,8.66
Type1_22.13.txt,663159.0,8.55,662438.0,8.49
Type1_22.14.txt,661879.0,8.4,661764.0,8.4
Type1_22.15.txt,662763.0,7.1,662772.0,8.61
Type1_22.16.txt,662936.0,8.21,662401.0,8.08
Type1_22.17.txt,663905.0,8.09,662113.0,8.45
Type1_22.18.txt,662898.0,7.95,662596.0,8.64
Type1_22.19.txt,662030.0,8.22,661296.0,8.52
Type1_22.2.txt,661294.0,8.44,662543.0,6.03
Type1_22.20.txt,663081.0,8.38,662758.0,8.64
Type1_22.3.txt,661549.0,8.49,662216.0,8.61
Type1_22.4.txt,661558.0,8.64,662249.0,8.61
Type1_22.5.txt,662556.0,8.66,662296.0,8.59
Type1_22.6.txt,662555.0,8.75,661557.0,8.94
Type1_22.7.txt,662251.0,8.66,661819.0,8.68
Type1_22.8.txt,662988.0,8.62,661724.0,7.1
Type1_22.9.txt,662109.0,8.69,661147.0,8.59
