file,GRASPMOD_of,GRASPMOD_runtime (s),PR1_of,PR1_runtime (s),PR2_of,PR2_runtime (s),PR3_of,PR3_runtime (s),PR4_of,PR4_runtime (s),GRASP_of,GRASP_runtime (s)
MDG-a_10_100_m10.txt,352.72,0.03,352.72,0.01,352.72,0.0,352.72,0.04,352.72,0.01,351.43,0.04
MDG-a_12_100_m10.txt,354.25,0.05,354.25,0.01,354.25,0.0,354.25,0.03,354.25,0.01,350.18,0.05
MDG-a_13_n500_m50.txt,7739.26,3.32,7739.26,25.36,7739.26,0.05,7777.02,26.91,7777.02,20.39,7701.89,3.92
MDG-a_14_100_m10.txt,356.06,0.05,356.06,0.01,356.06,0.0,356.06,0.03,356.06,0.0,347.66,0.03
MDG-a_16_n500_m50.txt,7709.65,3.15,7709.65,35.55,7709.65,0.05,7784.07,36.23,7715.82,21.91,7695.33,3.76
MDG-a_17_n500_m50.txt,7692.23,3.41,7692.23,33.69,7692.23,0.05,7707.26,36.07,7692.23,22.5,7652.23,3.65
MDG-a_19_n500_m50.txt,7655.33,3.29,7659.96,33.28,7655.33,0.05,7676.49,35.61,7669.86,30.28,7641.18,3.08
MDG-a_1_100_m10.txt,359.81,0.03,359.81,0.01,359.81,0.0,359.81,0.03,359.81,0.01,360.15,0.05
MDG-a_20_100_m10.txt,348.68,0.04,348.68,0.02,348.68,0.0,348.68,0.02,348.68,0.01,349.31,0.05
MDG-a_20_n500_m50.txt,7663.71,3.34,7663.71,27.05,7663.71,0.05,7687.78,30.05,7663.71,15.78,7668.57,3.27
MDG-a_2_n500_m50.txt,7689.5,3.28,7689.5,24.15,7689.5,0.05,7705.71,27.23,7689.5,22.59,7726.75,3.53
MDG-a_4_100_m10.txt,355.72,0.05,355.72,0.01,355.72,0.0,355.72,0.01,355.72,0.01,355.72,0.05
MDG-a_5_n500_m50.txt,7645.62,3.23,7645.62,34.5,7645.62,0.05,7696.55,37.88,7696.55,27.6,7668.93,2.88
MDG-a_6_n500_m50.txt,7685.65,2.67,7685.65,25.0,7685.65,0.03,7770.48,28.08,7770.48,23.07,7686.96,4.29
MDG-a_9_n500_m50.txt,7687.92,4.04,7687.92,34.45,7687.92,0.03,7696.91,35.93,7696.91,16.6,7665.56,3.31
