file,GRASPMOD_of,GRASPMOD_runtime (s),GRASP_of,GRASP_runtime (s)
MDG-a_10_100_m10.txt,355.5,0.43,355.5,0.43
MDG-a_12_100_m10.txt,354.25,0.35,354.25,0.35
MDG-a_13_n500_m50.txt,7741.22,27.78,7738.03,27.78
MDG-a_14_100_m10.txt,356.06,0.44,356.06,0.44
MDG-a_16_n500_m50.txt,7755.08,29.15,7775.64,29.15
MDG-a_17_n500_m50.txt,7694.75,30.27,7758.74,30.27
MDG-a_19_n500_m50.txt,7743.03,30.88,7666.13,30.88
MDG-a_1_100_m10.txt,360.15,0.47,360.15,0.47
MDG-a_20_100_m10.txt,349.31,0.46,349.31,0.46
MDG-a_20_n500_m50.txt,7699.19,30.0,7699.99,30.0
MDG-a_2_n500_m50.txt,7706.98,31.23,7704.06,31.23
MDG-a_4_100_m10.txt,355.72,0.42,355.72,0.42
MDG-a_5_n500_m50.txt,7706.18,28.54,7696.98,28.54
MDG-a_6_n500_m50.txt,7735.34,31.77,7727.71,31.77
MDG-a_9_n500_m50.txt,7720.21,30.19,7706.43,30.19
