file,GRASPMOD_of,GRASPMOD_runtime (s),PR1_of,PR1_runtime (s),PR2_of,PR2_runtime (s),PR3_of,PR3_runtime (s),PR4_of,PR4_runtime (s),GRASP_of,GRASP_runtime (s)
MDG-a_10_100_m10.txt,355.5,0.92,355.5,0.02,355.5,0.0,355.5,0.07,355.5,0.02,355.5,0.02
MDG-a_12_100_m10.txt,354.25,0.96,354.25,0.01,354.25,0.0,354.25,0.04,354.25,0.01,354.25,0.01
MDG-a_13_n500_m50.txt,7747.39,61.0,7747.39,31.13,7747.39,0.04,7748.38,34.25,7747.39,27.54,7754.64,27.54
MDG-a_14_100_m10.txt,356.06,0.93,356.06,0.02,356.06,0.0,356.06,0.03,356.06,0.01,356.06,0.01
MDG-a_16_n500_m50.txt,7739.57,61.31,7739.57,26.78,7739.57,0.03,7792.77,28.24,7792.77,21.46,7751.97,21.46
MDG-a_17_n500_m50.txt,7776.55,63.45,7776.55,38.22,7776.55,0.03,7787.2,40.05,7784.78,20.04,7752.54,20.04
MDG-a_19_n500_m50.txt,7716.15,57.96,7716.15,31.41,7716.15,0.05,7716.15,33.62,7716.15,41.01,7743.96,41.01
MDG-a_1_100_m10.txt,360.15,1.51,360.15,0.01,360.15,0.0,360.15,0.03,360.15,0.02,360.15,0.02
MDG-a_20_100_m10.txt,349.31,1.7,349.31,0.02,349.31,0.0,349.31,0.05,349.31,0.02,349.31,0.02
MDG-a_20_n500_m50.txt,7721.68,114.89,7721.68,45.23,7721.68,0.05,7733.86,31.77,7730.69,22.12,7684.3,22.12
MDG-a_2_n500_m50.txt,7716.05,63.74,7719.81,27.2,7716.05,0.05,7722.75,29.97,7722.75,23.38,7721.46,23.38
MDG-a_4_100_m10.txt,355.72,0.95,355.72,0.01,355.72,0.0,355.72,0.03,355.72,0.0,355.72,0.0
MDG-a_5_n500_m50.txt,7729.39,66.72,7732.07,34.14,7729.39,0.05,7748.51,34.25,7740.06,23.32,7735.86,23.32
MDG-a_6_n500_m50.txt,7743.38,60.73,7743.38,29.02,7743.38,0.04,7743.38,31.96,7743.38,24.72,7751.15,24.72
MDG-a_9_n500_m50.txt,7740.27,63.77,7740.27,32.68,7740.27,0.05,7740.27,32.65,7740.27,33.87,7747.15,33.87
