file,GRASPMOD_of,GRASPMOD_runtime (s),GRASP_of,GRASP_runtime (s)
MDG-a_10_100_m10.txt,355.5,0.91,355.5,0.99
MDG-a_12_100_m10.txt,354.25,0.79,354.25,0.79
MDG-a_13_n500_m50.txt,7762.39,62.35,7754.64,76.44
MDG-a_14_100_m10.txt,356.06,0.88,356.06,0.92
MDG-a_16_n500_m50.txt,7756.6,63.97,7751.97,67.95
MDG-a_17_n500_m50.txt,7761.0,65.33,7714.24,71.91
MDG-a_19_n500_m50.txt,7720.0,66.67,7743.96,69.1
MDG-a_1_100_m10.txt,360.15,0.93,360.15,0.98
MDG-a_20_100_m10.txt,349.31,0.91,349.31,0.87
MDG-a_20_n500_m50.txt,7680.98,67.2,7709.48,66.49
MDG-a_2_n500_m50.txt,7711.83,62.21,7724.77,62.05
MDG-a_4_100_m10.txt,355.72,0.68,355.72,0.97
MDG-a_5_n500_m50.txt,7740.06,92.95,7735.86,115.14
MDG-a_6_n500_m50.txt,7730.88,86.91,7724.66,120.07
MDG-a_9_n500_m50.txt,7735.22,115.06,7747.15,120.51
