file,GRASPMOD_of,GRASPMOD_runtime (s),PR1_of,PR1_runtime (s),PR2_of,PR2_runtime (s),PR3_of,PR3_runtime (s),PR4_of,PR4_runtime (s),PR5_of,PR5_runtime (s),GRASP_of,GRASP_runtime (s)
MDG-a_10_100_m10.txt,352.72,0.11,352.72,0.02,352.72,0.0,352.72,0.04,352.72,0.01,352.72,0.06,355.5,0.12
MDG-a_12_100_m10.txt,354.25,0.09,354.25,0.01,354.25,0.0,354.25,0.02,354.25,0.01,354.25,0.01,348.36,0.1
MDG-a_13_n500_m50.txt,7720.45,6.36,7720.45,34.27,7720.45,0.95,7765.22,38.0,7723.06,18.39,7765.22,5.47,7764.27,7.33
MDG-a_14_100_m10.txt,356.06,0.07,356.06,0.01,356.06,0.0,356.06,0.02,356.06,0.01,356.06,0.01,356.06,0.11
MDG-a_16_n500_m50.txt,7740.93,6.74,7740.93,33.11,7740.93,1.25,7755.57,37.16,7754.15,24.97,7755.99,4.88,7676.21,5.72
MDG-a_17_n500_m50.txt,7772.52,5.56,7772.52,33.0,7772.52,1.26,7785.72,35.68,7785.72,31.86,7784.78,5.16,7688.06,7.31
MDG-a_19_n500_m50.txt,7679.39,6.25,7679.89,38.93,7679.39,1.39,7691.18,41.5,7687.13,27.04,7687.13,5.42,7689.32,7.34
MDG-a_1_100_m10.txt,360.15,0.1,360.15,0.02,360.15,0.0,360.15,0.04,360.15,0.01,360.15,0.04,360.15,0.1
MDG-a_20_100_m10.txt,348.68,0.12,348.68,0.02,348.68,0.0,348.68,0.04,348.68,0.01,348.68,0.02,348.68,0.07
MDG-a_20_n500_m50.txt,7639.04,6.69,7639.04,27.98,7639.04,0.96,7685.33,31.32,7673.08,20.09,7677.01,4.9,7653.41,6.36
MDG-a_2_n500_m50.txt,7671.33,6.37,7671.59,37.72,7671.59,0.93,7692.06,40.71,7671.59,38.36,7686.1,4.88,7659.84,6.37
MDG-a_4_100_m10.txt,353.51,0.1,353.51,0.01,353.51,0.0,353.51,0.02,353.51,0.01,353.51,0.02,352.44,0.09
MDG-a_5_n500_m50.txt,7653.04,5.94,7653.1,30.54,7653.04,1.05,7674.82,33.44,7663.6,20.15,7676.44,5.11,7699.01,6.45
MDG-a_6_n500_m50.txt,7720.96,6.36,7720.96,27.03,7720.96,0.93,7738.59,31.16,7720.96,22.66,7747.7,5.23,7685.82,6.31
MDG-a_9_n500_m50.txt,7700.59,5.71,7700.59,28.9,7700.59,0.76,7710.71,31.59,7722.84,33.18,7722.84,4.45,7726.37,6.7
