file,GRASPMOD_of,GRASPMOD_runtime (s),PR2_of,PR2_runtime (s),PR5_of,PR5_runtime (s)
MDG-a_10_100_m10.txt,352.72,0.09,352.72,0.0,352.72,0.05
MDG-a_12_100_m10.txt,354.25,0.07,354.25,0.0,354.25,0.04
MDG-a_13_n500_m50.txt,7705.98,5.81,7705.98,0.87,7736.71,4.47
MDG-a_14_100_m10.txt,356.06,0.09,356.06,0.0,356.06,0.02
MDG-a_16_n500_m50.txt,7748.1,6.46,7748.1,1.16,7748.1,5.13
MDG-a_17_n500_m50.txt,7707.36,5.97,7707.36,1.08,7707.36,5.01
MDG-a_19_n500_m50.txt,7711.54,6.59,7711.54,1.03,7750.63,4.22
MDG-a_1_100_m10.txt,360.15,0.08,360.15,0.0,360.15,0.04
MDG-a_20_100_m10.txt,348.68,0.1,348.68,0.0,348.68,0.02
MDG-a_20_n500_m50.txt,7694.27,5.62,7694.27,1.26,7708.76,5.21
MDG-a_2_n500_m50.txt,7670.66,6.54,7670.66,1.1,7693.43,4.64
MDG-a_4_100_m10.txt,355.72,0.1,355.72,0.0,355.72,0.02
MDG-a_5_n500_m50.txt,7699.05,5.67,7699.05,0.95,7710.08,4.53
MDG-a_6_n500_m50.txt,7722.4,7.38,7722.4,1.12,7768.91,4.88
MDG-a_9_n500_m50.txt,7696.1,7.24,7696.1,1.05,7699.42,4.38
