file,GRASPMOD_of,GRASPMOD_runtime (s),PR5_of,PR5_runtime (s)
MDG-a_10_100_m10.txt,352.72,0.08,352.72,0.0
MDG-a_12_100_m10.txt,354.25,0.08,354.25,0.0
MDG-a_13_n500_m50.txt,7705.98,6.07,7705.98,0.05
MDG-a_14_100_m10.txt,356.06,0.06,356.06,0.0
MDG-a_16_n500_m50.txt,7748.1,6.26,7748.1,0.06
MDG-a_17_n500_m50.txt,7707.36,5.77,7707.36,0.04
MDG-a_19_n500_m50.txt,7711.54,6.73,7711.54,0.05
MDG-a_1_100_m10.txt,360.15,0.12,360.15,0.0
MDG-a_20_100_m10.txt,348.68,0.1,348.68,0.0
MDG-a_20_n500_m50.txt,7694.27,5.79,7694.27,0.06
MDG-a_2_n500_m50.txt,7670.66,5.87,7670.66,0.05
MDG-a_4_100_m10.txt,355.72,0.06,355.72,0.0
MDG-a_5_n500_m50.txt,7699.05,5.55,7699.05,0.03
MDG-a_6_n500_m50.txt,7722.4,6.34,7722.4,0.05
MDG-a_9_n500_m50.txt,7696.1,6.74,7696.1,0.05
